date,1. open,2. high,3. low,4. close,5. volume
2020-09-24,87.0,87.08,85.32,85.91,9957115.0
2020-09-23,89.0,89.27,87.119,87.14,6252954.0
2020-09-22,88.9,88.95,87.93,88.6,5306130.0
2020-09-21,89.14,89.43,87.17,89.09,7328258.0
2020-09-18,89.49,90.5,88.86,90.11,10076304.0
2020-09-17,89.3,90.81,89.175,89.63,5604683.0
2020-09-16,91.02,91.27,89.685,89.78,6307956.0
2020-09-15,91.4,91.98,90.635,90.91,3851321.0
2020-09-14,90.05,91.26,89.46,90.49,5212480.0
2020-09-11,89.81,90.34,89.04,89.7,8385750.0
2020-09-10,91.07,91.41,89.48,89.65,10403581.0
2020-09-09,90.86,92.4295,90.51,91.63,5373513.0
2020-09-08,91.52,91.86,89.45,90.22,8563903.0
2020-09-04,92.08,93.133,90.5801,91.87,9444845.0
2020-09-03,93.88,94.31,91.09,91.87,8921855.0
2020-09-02,92.07,94.24,91.9,93.95,9139151.0
2020-09-01,95.52,95.92,91.29,92.24,15817818.0
2020-08-31,94.12,96.01,94.01,95.77,9932323.0
2020-08-28,94.52,94.65,93.53,94.17,4938715.0
2020-08-27,94.33,95.06,93.67,94.3,5271517.0
2020-08-26,93.5,94.41,92.94,94.35,5682842.0
2020-08-25,94.21,94.79,93.91,94.06,6709995.0
2020-08-24,94.9,95.235,94.18,94.51,4103551.0
2020-08-21,95.2,95.32,94.32,94.86,5268986.0
2020-08-20,95.49,96.03,94.682,95.2,6798058.0
2020-08-19,97.11,97.42,95.85,96.1,7671999.0
2020-08-18,96.62,96.7,95.1458,95.65,4557442.0
2020-08-17,95.29,97.26,95.26,96.35,6765991.0
2020-08-14,95.38,95.67,94.54,95.07,5488458.0
2020-08-13,95.14,95.5,94.005,94.68,6004395.0
2020-08-12,93.45,95.58,93.33,95.51,7705938.0
2020-08-11,92.31,93.29,92.13,92.67,7208384.0
2020-08-10,92.63,93.67,92.15,92.38,7623616.0
2020-08-07,92.69,93.0,92.2,92.92,5227010.0
2020-08-06,93.32,93.65,91.78,92.57,7269306.0
2020-08-05,94.47,94.8,93.1286,93.25,6932657.0
2020-08-04,95.92,96.03,94.055,94.29,7865121.0
2020-08-03,95.19,97.17,95.06,95.94,6920500.0
2020-07-31,95.54,97.2504,93.55,94.91,14614332.0
2020-07-30,96.31,96.74,95.405,96.04,6411485.0
2020-07-29,96.87,97.4,96.6417,97.01,5511997.0
2020-07-28,97.0,97.62,96.455,96.71,5941905.0
2020-07-27,96.35,97.89,96.26,97.16,5030716.0
2020-07-24,98.05,98.19,96.46,97.11,5169385.0
2020-07-23,98.24,98.92,97.45,98.03,5127240.0
2020-07-22,97.8,98.2801,96.93,97.7,4441837.0
2020-07-21,99.81,99.81,97.17,97.4,8241705.0
2020-07-20,100.76,101.25,99.26,99.54,4822521.0
2020-07-17,100.29,101.28,99.92,100.83,6890700.0
2020-07-16,99.69,100.23,98.81,99.92,4269200.0
2020-07-15,100.0,100.48,98.82,100.48,5660100.0
2020-07-14,96.97,99.1,95.94,98.87,6757300.0
2020-07-13,97.36,99.56,96.92,97.86,8503400.0
2020-07-10,98.06,98.33,96.36,96.83,6209800.0
2020-07-09,99.08,99.78,96.81,97.94,5810400.0
2020-07-08,99.75,100.57,98.55,99.28,6154100.0
2020-07-07,98.68,100.69,98.56,99.35,6351800.0
2020-07-06,99.64,99.8,97.95,99.01,7037000.0
2020-07-02,99.45,99.99,97.86,98.88,6586100.0
2020-07-01,98.5,99.66,97.5,99.14,6527000.0
2020-06-30,95.97,98.88,95.83,98.18,8110300.0
2020-06-29,96.5,97.33,95.68,96.44,6674000.0
2020-06-26,96.89,97.03,95.04,96.13,14567100.0
2020-06-25,95.18,97.07,94.32,96.99,6405600.0
2020-06-24,96.46,97.16,94.35,95.14,9024200.0
2020-06-23,98.42,99.1,97.05,97.31,6713300.0
2020-06-22,96.64,97.3,95.82,97.27,6002600.0
2020-06-19,97.72,98.2,95.75,96.71,9153400.0
2020-06-18,95.56,96.45,95.26,96.23,4569500.0
2020-06-17,96.85,97.1,95.27,95.74,6210900.0
2020-06-16,94.86,96.2,93.48,96.06,9365000.0
2020-06-15,91.27,94.03,90.78,93.08,7120200.0
2020-06-12,93.74,94.74,91.03,92.46,8009100.0
2020-06-11,95.69,96.89,92.03,92.26,12575100.0
2020-06-10,96.99,99.35,96.8,96.9,11126500.0
2020-06-09,94.95,96.66,94.76,96.17,9553500.0
2020-06-08,92.91,95.01,92.81,94.59,6618200.0
2020-06-05,93.5,95.54,92.81,93.85,9627300.0
2020-06-04,90.28,93.48,90.25,93.04,9523500.0
2020-06-03,91.47,91.5,89.6,90.89,8585000.0
2020-06-02,90.97,91.7,90.05,91.04,9410700.0
2020-06-01,92.05,93.06,90.69,90.7,8483100.0
2020-05-29,91.0,92.89,89.6,92.67,13758700.0
2020-05-28,90.87,91.19,90.0,90.03,8765900.0
2020-05-27,90.54,91.0,88.56,89.98,12528400.0
2020-05-26,93.45,93.57,90.31,90.71,11867600.0
2020-05-22,92.87,93.01,91.73,92.1,5505100.0
2020-05-21,91.28,93.13,90.35,93.02,10391400.0
2020-05-20,92.13,92.54,89.9,91.19,10659100.0
2020-05-19,91.26,91.65,89.56,91.2,9889900.0
2020-05-18,92.0,93.66,91.31,91.47,16300200.0
2020-05-15,90.01,91.15,89.42,90.71,13625100.0
2020-05-14,87.62,90.48,87.43,89.94,13370600.0
2020-05-13,90.74,92.24,87.73,88.87,23558000.0
2020-05-12,90.0,92.23,88.47,90.46,23453100.0
2020-05-11,85.08,88.46,83.98,87.9,19213200.0
2020-05-08,84.42,84.66,82.45,83.96,20187000.0
2020-05-07,86.52,86.84,83.56,84.22,11929100.0
2020-05-06,86.28,88.15,85.25,85.42,17039800.0
2020-05-05,82.95,86.48,82.6,85.37,10870200.0
2020-05-04,82.22,82.84,81.12,81.86,6830200.0
2020-05-01,81.95,84.23,80.5,82.84,12704100.0
2020-04-30,82.97,83.26,81.23,82.2,15524500.0
2020-04-29,83.72,84.75,82.14,83.76,8229200.0
2020-04-28,85.7,85.97,82.37,82.76,8339100.0
2020-04-27,84.03,84.92,83.78,84.69,9208200.0
2020-04-24,82.87,83.67,82.35,83.59,6770600.0
2020-04-23,82.18,83.83,81.96,82.04,7889400.0
2020-04-22,81.23,82.45,80.73,81.47,7033000.0
2020-04-21,82.51,82.97,80.02,80.36,9624200.0
2020-04-20,83.54,85.33,82.63,83.99,9124900.0
2020-04-17,84.0,84.79,82.5,83.45,10732900.0
2020-04-16,82.73,83.72,81.58,81.86,10308800.0
2020-04-15,80.51,83.04,79.62,81.82,8977200.0
2020-04-14,80.62,82.85,80.29,82.13,11070800.0
2020-04-13,80.66,81.33,78.66,80.3,9287900.0
2020-04-09,78.56,80.08,78.56,79.75,9422200.0
2020-04-08,76.44,78.98,74.78,78.56,12214300.0
2020-04-07,78.38,78.58,75.25,75.39,11589400.0
2020-04-06,75.74,77.26,74.03,75.73,10257800.0
2020-04-03,74.65,75.44,72.55,73.37,8059100.0
2020-04-02,72.78,75.5,71.46,75.13,8067000.0
2020-04-01,72.12,73.99,71.43,73.42,12942000.0
2020-03-31,75.4,77.92,74.44,76.19,20472600.0
2020-03-30,73.52,76.24,73.47,75.24,10669200.0
2020-03-27,71.63,75.06,70.71,72.67,12289700.0
2020-03-26,68.82,74.31,68.76,73.83,15978900.0
2020-03-25,67.92,70.68,65.55,67.91,20010700.0
2020-03-24,68.16,71.82,67.09,67.49,18364700.0
2020-03-23,67.38,67.75,62.55,64.5,19201200.0
2020-03-20,73.0,73.0,66.81,68.82,18841200.0
2020-03-19,69.1,74.85,65.33,71.06,19735400.0
2020-03-18,70.0,71.39,64.69,71.03,23790300.0
2020-03-17,75.71,77.71,69.99,73.02,23197600.0
2020-03-16,79.0,82.18,73.58,74.27,20875800.0
2020-03-13,83.36,86.32,80.69,85.37,21854800.0
2020-03-12,78.85,81.29,77.06,78.61,19868100.0
2020-03-11,85.8,86.64,83.57,84.85,10381300.0
2020-03-10,88.19,88.22,83.76,87.53,12957600.0
2020-03-09,84.0,87.34,82.43,85.27,15800700.0
