date,1. open,2. high,3. low,4. close,5. volume
2020-09-23,95.81,100.4399,93.91,95.23,55293806.0
2020-09-22,90.33,94.65,88.43,94.39,43455620.0
2020-09-21,89.4,96.5,87.78,94.8,51263697.0
2020-09-18,85.25,90.01,83.28,89.7,44309557.0
2020-09-17,79.69,85.7,79.02,85.2,30607880.0
2020-09-16,83.77,86.35,82.2,82.59,25209192.0
2020-09-15,83.5,88.5,82.5,85.45,67929344.0
2020-09-14,81.72,83.5,78.83,82.01,52982532.0
2020-09-11,98.1065,98.1065,83.58,84.04,87398128.0
2020-09-10,93.55,98.61,86.38,87.75,55832558.0
2020-09-09,90.16,92.08,86.22,91.17,30086863.0
2020-09-08,79.38,91.84,79.29,85.6,32732776.0
2020-09-04,81.55,84.972,72.11,80.63,16784934.0
2020-09-03,87.8,87.9,80.51,82.28,14010175.0
2020-09-02,91.8,92.5,84.25,91.06,26695545.0
2020-09-01,78.3897,84.63,78.0,83.67,13242485.0
2020-08-31,76.0,77.8,75.41,76.67,15742527.0
2020-08-28,72.41,77.455,72.25,75.96,15422194.0
2020-08-27,72.4,72.4124,68.06,70.3,12952846.0
2020-08-26,66.97,68.6132,66.735,67.3,4663614.0
2020-08-25,66.47,67.46,65.29,66.45,4291655.0
2020-08-24,69.95,70.25,66.21,66.87,4483673.0
2020-08-21,68.71,70.95,68.56,69.35,4077864.0
2020-08-20,67.59,69.09,67.1,68.72,3208150.0
2020-08-19,69.32,69.76,67.46,67.59,4081858.0
2020-08-18,65.85,70.78,65.56,69.82,7931611.0
2020-08-17,64.88,65.45,63.23,65.26,3768950.0
2020-08-14,66.64,67.75,64.08,64.34,4565303.0
2020-08-13,63.0,66.3503,62.5,65.71,9862711.0
2020-08-12,65.21,65.73,63.76,64.36,3768838.0
2020-08-11,65.69,67.2,64.15,64.96,4140612.0
2020-08-10,68.48,69.57,65.15,67.12,3932957.0
2020-08-07,69.99,70.68,66.37,68.3,4748018.0
2020-08-06,71.73,72.5,69.68,69.72,4523265.0
2020-08-05,69.73,71.74,69.67,71.21,4996816.0
2020-08-04,70.95,71.5,69.0124,70.01,6039933.0
2020-08-03,69.6,73.21,69.1,72.68,7897326.0
2020-07-31,66.69,68.94,65.6,68.22,7270687.0
2020-07-30,66.17,66.65,62.72,65.28,5412970.0
2020-07-29,64.72,66.9,64.6,66.65,4395326.0
2020-07-28,64.3,66.87,63.93,64.11,5709957.0
2020-07-27,62.58,63.91,61.75,63.68,4106775.0
2020-07-24,61.56,62.3374,59.68,61.82,4048691.0
2020-07-23,64.31,65.28,60.89,62.31,4732649.0
2020-07-22,62.9,64.41,62.8806,64.14,4367444.0
2020-07-21,64.85,65.31,61.9,62.88,6231529.0
2020-07-20,59.721,64.995,59.58,64.71,10252289.0
2020-07-17,61.55,61.88,58.23,58.53,9961479.0
2020-07-16,62.21,62.89,60.65,61.29,5613650.0
2020-07-15,61.43,63.72,60.87,63.13,5347392.0
2020-07-14,62.58,65.08,60.1,62.95,9576405.0
2020-07-13,69.25,69.728,61.01,61.58,13147281.0
2020-07-10,64.82,68.78,63.8,68.47,9163666.0
2020-07-09,63.881,65.72,63.56,64.49,7527092.0
2020-07-08,61.04,63.25,61.04,62.52,6058363.0
2020-07-07,61.0,62.2,59.7,60.82,6873814.0
2020-07-06,59.25,62.34,59.24,60.48,5926742.0
2020-07-02,60.85,61.39,58.91,59.16,5475541.0
2020-07-01,57.54,61.0,56.92,60.25,8335048.0
2020-06-30,56.24,59.11,56.18,57.77,6536649.0
2020-06-29,58.05,58.4,55.68,57.21,6649465.0
