Ticker,Predicted Close,Real Close,Yesterday's Close,Real Increase,Predicted Increase,Real Percentage Increase,Predicted Percentage Increase,Real Minus Predicted Percentage
MMM,231.62828,233.19,233.63,-0.4399999999999977,-2.001720000000006,-0.0018833197791379435,-0.008567906518854624,0.006684586739716681
AOS,60.805637,62.72,62.32,0.3999999999999986,-1.514363000000003,0.006418485237483931,-0.02429979139922983,0.03071827663671376
ABT,56.322277,58.67,58.86,-0.18999999999999773,-2.5377229999999997,-0.003227998640842639,-0.04311455997281685,0.03988656133197421
ABBV,94.798294,113.62,111.2,2.4200000000000017,-16.401706000000004,0.021762589928057567,-0.14749735611510795,0.16925994604316552
ACN,147.71759,155.15,154.69,0.46000000000000796,-6.972409999999996,0.0029736893141121467,-0.04507343719697457,0.04804712651108672
ATVI,66.38916,69.46,69.7,-0.2400000000000091,-3.310839999999999,-0.0034433285509326986,-0.04750129124820658,0.044057962697273884
ADBE,184.8301,192.34,194.47,-2.1299999999999955,-9.639900000000011,-0.010952846197356895,-0.049570113642207085,0.03861726744485019
AAP,89.37488,109.93,112.2,-2.269999999999996,-22.82512,-0.02023172905525843,-0.20343244206773617,0.18320071301247773
AMD,11.743916,11.6,11.65,-0.05000000000000071,0.09391600000000011,-0.0042918454935622925,0.00806145922746782,-0.012353304721030113
AES,10.872303,10.48,10.58,-0.09999999999999964,0.2923030000000004,-0.009451795841209797,0.02762788279773161,-0.037079678638941405
AFL,85.18547,85.6,85.62,-0.020000000000010232,-0.4345300000000094,-0.0002335902826443615,-0.005075099275870233,0.004841508993225872
A,69.79627,68.06,68.45,-0.39000000000000057,1.346270000000004,-0.005697589481373273,0.019667932797662584,-0.02536552227903586
APD,161.90579,158.21,160.22,-2.009999999999991,1.6857899999999972,-0.012545250280863755,0.010521720134814613,-0.023066970415678366
AKAM,55.859436,64.48,63.67,0.8100000000000023,-7.810563999999999,0.01272184702371607,-0.12267259305795507,0.13539444008167115
ALK,65.78636,64.23,63.19,1.0400000000000063,2.596360000000004,0.016458300363981743,0.04108814685868024,-0.024629846494698494
ALB,137.98784,106.63,107.54,-0.9100000000000108,30.44784,-0.008461967639948026,0.2831303700948484,-0.2915923377347964
ARE,127.38227,118.96,118.54,0.4199999999999875,8.84227,0.0035431078117090222,0.07459313311962205,-0.07105002530791303
ALXN,108.676056,117.15,114.91,2.240000000000009,-6.233943999999994,0.019493516665216336,-0.05425066573840392,0.07374418240362025
ALGN,255.327,234.33,241.45,-7.119999999999976,13.87700000000001,-0.02948850693725399,0.057473597018016194,-0.08696210395527018
ALLE,83.52697,79.96,80.11,-0.15000000000000568,3.4169700000000063,-0.0018724254150543713,0.042653476469854026,-0.044525901884908396
LNT,45.153645,37.5,37.51,-0.00999999999999801,7.643644999999999,-0.00026659557451341005,0.20377619301519595,-0.20404278858970937
ALL,99.65072,96.87,96.6,0.27000000000001023,3.0507200000000125,0.002795031055900727,0.031580952380952515,-0.028785921325051787
